Sample ,Cylno,Acrnoym,Rep,Plant,Geno,Species,Genotype,PlantPart,Treatment,Specie_Trt,Origin,TWT ,TE ,TWA ,LastTranspiration ,Concentration,Disarticulted_Phytoliths,Skeleton_Phytoliths,Total_Phytoliths,TotalPhytoliths_50,RatioS/F,TotalRatioS/F,RatioS/F_concentration,RatioS/F_percentage,Trichomes,Saddle,Rondels,Tracheary,Blocky,BulliformFlabellate,BulliformTOT,ElongClavate,ElongSinuate,ElongEntire,ElongDentate,ElongCrenate,ElongateTOT,Stoma,Cross,Bilobate,Polylobate,TriCONCE,SaddleCONCE,RondelsCONCE,TracheCONCE,BlockyCONCE,BulliFlabellateCONCE,BulliTOTCONCE,ClavateCONCE,SinuateCONCE,EntireCONCE,DentateCONCE,CrenateCONCE,ElongateTOTCONCE,StomaCONCE,CrossCONCE,BilobateCONCE,PolylobateCONCE,TriPER,SaddlePER,RondelPER,TrachePER,BlockyPER,BulliFlabPER,ClavPER,SinuPER,EntirePER,DenPER,CrenPER,StomaPER,CrossPER,BiloPER,PolyPER
106,191010,PM9R1WW,1,1,9,PM,IP18021,Leaf,WW,PM_WW,Pakistan,24.8,6.320564516,21.4,1.39,12.50501843,19,478,497,497,20.8,436,20.8,20.8,60,0,0,1,0,0,0,10,170,186,39,0,405,11,8,9,3,1.509660173,0,0,0.025161003,0,0,0,0.251610029,4.27737049,4.679946536,0.981279112,0,10.19020617,0.276771032,0.201288023,0.226449026,0.075483009,12.07243461,0,0,0.201207243,0,0,2.012072435,34.20523139,37.42454728,7.847082495,0,2.213279678,1.609657948,1.810865191,0.60362173
107,191016,PM9R2WW,2,1,9,PM,IP18021,Leaf,WW,PM_WW,Pakistan,15.19,6.958525346,14.55,NA,11.80364418,9,457,466,466,6.274193548,451,6.274193548,6.274193548,15,2,2,0,0,0,0,52,262,57,0,14,385,4,47,10,1,0.379945628,0.050659417,0.050659417,0,0,0,0,1.317144845,6.63638364,1.443793387,0,0.35461592,9.751937792,0.101318834,1.190496302,0.253297086,0.025329709,3.21888412,0.429184549,0.429184549,0,0,0,11.15879828,56.22317597,12.23175966,0,3.004291845,0.858369099,10.08583691,2.145922747,0.214592275
109,191504,PM9R1WS,1,1,9,PM,IP18021,Leaf,WS,PM_WS,Pakistan,8.29,11.32689988,0,NA,5.909545706,9,450,459,459,3.455445545,450,3.455445545,3.455445545,9,0,10,0,0,0,0,58,173,82,26,0,339,10,80,4,7,0.115873445,0,0.128748272,0,0,0,0,0.74673998,2.227345114,1.055735834,0.334745508,0,4.364566436,0.128748272,1.02998618,0.051499309,0.090123791,1.960784314,0,2.178649237,0,0,0,12.63616558,37.69063181,17.86492375,5.664488017,0,2.178649237,17.4291939,0.871459695,1.525054466
110,191519,PM9R2WS,2,1,9,PM,IP18021,Leaf,WS,PM_WS,Pakistan,8.25,10.95757576,0,0.22,6.850167679,23,408,431,431,5.313432836,423,5.313432836,5.313432836,5,0,2,0,1,2,3,15,169,135,31,0,350,6,40,19,6,0.079468303,0,0.031787321,0,0.015893661,0.031787321,0.047680982,0.238404908,2.686028626,2.145644169,0.492703476,0,5.562781178,0.095361963,0.63574642,0.30197955,0.095361963,1.160092807,0,0.464037123,0,0.232018561,0.464037123,3.480278422,39.21113689,31.3225058,7.192575406,0,1.392111369,9.280742459,4.408352668,1.392111369
112,19103,S2R1WW,1,2,2,S,IS23075,Leaf,WW,S_WW,Sudan,26.77,7.986552111,21.21,3.57,21.97537227,17,696,713,713,5.41509434,680,5.41509434,5.41509434,33,0,0,0,0,0,0,479,47,13,7,0,546,28,101,4,1,1.017092966,0,0,0,0,0,0,14.76325851,1.448586952,0.400672987,0.215746993,0,16.82826544,0.862987971,3.112920896,0.123283996,0.030820999,4.628330996,0,0,0,0,0,67.18092567,6.591865358,1.823281907,0.981767181,0,3.927068724,14.1654979,0.561009818,0.140252454
113,19116,S2R2WW,2,1,2,S,IS23075,Leaf,WW,S_WW,Sudan,31.98,8.033145716,25.6,4.4,19.36166822,11,593,604,604,7,584,7,7,19,0,0,0,1,0,1,402,58,26,1,0,487,24,66,6,1,0.668857629,0,0,0,0.035203033,0,0.035203033,14.15161932,2.041775922,0.915278861,0.035203033,0,17.14387713,0.844872795,2.323400187,0.211218199,0.035203033,3.145695364,0,0,0,0.165562914,0,66.55629139,9.602649007,4.304635762,0.165562914,0,3.973509934,10.92715232,0.993377483,0.165562914
115,19506,S2R1WS,1,1,2,S,IS23075,Leaf,WS,S_WS,Sudan,8.72,8.245412844,0,0.23,40.29411765,24,661,685,634,8.848484848,650,8.848484848,8.242424242,35,0,0,0,0,0,0,332,189,15,2,2,540,44,52,11,3,2.058823529,0,0,0,0,0,0,19.52941176,11.11764706,0.882352941,0.117647059,0.117647059,31.76470588,2.588235294,3.058823529,0.647058824,0.176470588,4.100946372,0,0,0,0,0,46.21451104,29.81072555,2.365930599,0.315457413,0.315457413,6.782334385,8.201892744,1.735015773,0.47318612
116,19517,S2R2WS,2,1,2,S,IS23075,Leaf,WS,S_WS,Sudan,8.6,12.37209302,0,0.28,24.08532467,13,489,502,502,6.179104478,481,6.179104478,6.179104478,21,0,0,0,0,0,0,271,111,17,0,2,401,13,51,13,3,1.007553422,0,0,0,0,0,0,13.00223702,5.325639518,0.815638485,0,0.095957469,19.23947249,0.623723547,2.446915454,0.623723547,0.143936203,4.183266932,0,0,0,0,0,53.98406375,22.11155378,3.386454183,0,0.398406375,2.589641434,10.15936255,2.589641434,0.597609562
118,19107,S6R1WW,1,1,6,S,IS38025,Leaf,WW,S_WW,Ethiopia,27.96,16.97067239,22.35,3.6,26.43626374,31,401,432,429,7.666666667,416,7.666666667,7.604166667,16,0,0,0,0,0,0,262,27,52,7,14,362,6,29,15,4,0.979120879,0,0,0,0,0,0,16.0331044,1.652266484,3.182142857,0.428365385,0.856730769,22.15260989,0.36717033,1.774656593,0.917925824,0.24478022,3.72960373,0,0,0,0,0,61.07226107,5.594405594,12.12121212,1.631701632,3.263403263,1.398601399,6.75990676,3.496503497,0.932400932
119,19120,S6R2WW,2,1,6,S,IS38025,Leaf,WW,S_WW,Ethiopia,23.53,17.46706332,17.94,3.58,11.99769743,22,414,436,413,4.539473684,421,4.539473684,4.32,14,0,0,0,1,0,1,262,32,30,5,0,329,16,29,45,2,0.385247165,0,0,0,0.027517655,0,0.027517655,7.209625517,0.880564949,0.825529639,0.137588273,0,9.053308378,0.440282474,0.798011985,1.238294459,0.055035309,3.147699758,0,0,0,0.242130751,0,58.3535109,7.748184019,7.263922518,1.210653753,0,3.87409201,6.779661017,10.89588378,0.484261501
121,19510,S6R1WS,1,1,6,S,IS38025,Leaf,WS,S_WS,Ethiopia,6.56,29.69512195,0,0.19,16.62369002,19,592,611,611,7.352112676,593,7.352112676,7.352112676,17,0,0,0,1,0,1,464,36,6,3,0,509,13,56,10,5,0.462524927,0,0,0,0.027207349,0,0.027207349,12.62420977,0.979464551,0.163244092,0.081622046,0,13.84854046,0.353695532,1.523611524,0.272073486,0.136036743,2.782324059,0,0,0,0.163666121,0,75.9410802,5.89198036,0.981996727,0.490998363,0,2.127659574,9.165302782,1.636661211,0.818330606
122,19513,S6R2WS,2,1,6,S,IS38025,Leaf,WS,S_WS,Ethiopia,7.69,24.4213264,0,0.23,49.8702341,10,493,503,501,19.25,486,19.25,19.16666667,17,0,0,0,0,0,0,384,65,8,0,0,457,5,15,5,4,1.685475109,0,0,0,0,0,0,38.07190834,6.444463651,0.793164757,0,0,45.30953674,0.495727973,1.487183919,0.495727973,0.396582379,3.393213573,0,0,0,0,0,76.24750499,12.9740519,1.596806387,0,0,0.998003992,2.994011976,0.998003992,0.798403194
124,19104,S9R1WW,1,1,9,S,IS35216,Leaf,WW,S_WW,Pakistan,22.39,9.754354623,17.12,3.29,62.97836261,17,855,872,860,7.606382979,809,7.606382979,7.663043478,53,0,0,1,9,0,9,590,62,21,1,0,674,41,55,39,0,3.771585557,0,0,0.071161992,0.640457925,0,0.640457925,41.98557507,4.412043482,1.494401825,0.071161992,0,47.96318237,2.917641658,3.913909541,2.775317674,0,6.162790698,0,0,0.11627907,1.046511628,0,68.60465116,7.209302326,1.279069767,0.11627907,0,4.76744186,6.395348837,4.302325581,0
125,19111,S9R2WW,2,1,9,S,IS35216,Leaf,WW,S_WW,Pakistan,8.88,9.63963964,6.01,0.85,35.04703058,7,1108,1115,1115,9.612244898,1040,9.612244898,9.612244898,69,0,0,0,6,0,6,812,89,9,0,0,910,32,71,26,1,2.168829695,0,0,0,0.188593887,0,0.188593887,25.52303931,2.797475984,0.28289083,0,0,28.60340613,1.005834062,2.231694324,0.817240175,0.031432314,6.188340807,0,0,0,0.538116592,0,72.82511211,7.98206278,0.807174888,0,0,2.869955157,6.367713004,2.331838565,0.089686099
127,19505,S9R1WS,1,1,9,S,IS35216,Leaf,WS,S_WS,Pakistan,8.04,6.654228856,0,0.07,57.05107526,11,903,914,833,4.896551724,855,4.896551724,4.713235294,54,0,0,3,2,0,2,603,83,15,1,0,702,8,108,36,1,3.370632455,0,0,0.187257359,0.124838239,0,0.124838239,37.63872908,5.180786922,0.936286793,0.06241912,0,43.81822192,0.499352956,6.741264911,2.247088304,0.06241912,6.12244898,0,0,0.360144058,0.240096038,0,64.10564226,9.963985594,1.800720288,0.120048019,0,0.960384154,11.8847539,4.321728691,0.120048019
128,19514,S9R2WS,2,1,9,S,IS35216,Leaf,WS,S_WS,Pakistan,7.96,6.35678392,0,0.06,36.9691032,6,571,577,577,10.47916667,551,10.47916667,10.47916667,26,0,0,0,0,0,0,439,47,7,0,0,493,10,19,23,6,1.665852137,0,0,0,0,0,0,28.12727262,3.011348094,0.448498652,0,0,31.58711937,0.64071236,1.217353485,1.473638429,0.384427416,4.506065858,0,0,0,0,0,76.08318891,8.145580589,1.213171577,0,0,1.733102253,3.292894281,3.986135182,1.039861352
130,192002,FM1R1WW,1,2,1,FM,IE2511,Leaf,WW,FM_WW,Kenya,43.03,5.923774111,34.53,6.48,4.12790009,66,419,485,485,12.5,459,12.5,12.5,14,25,9,1,8,3,11,0,126,216,68,0,410,15,0,0,0,0.119155879,0.212778355,0.076600208,0.008511134,0.068089074,0.025533403,0.093622476,0,1.07240291,1.838404989,0.578757126,0,3.489565025,0.127667013,0,0,0,2.886597938,5.154639175,1.855670103,0.206185567,1.649484536,0.618556701,0,25.97938144,44.53608247,14.02061856,0,3.092783505,0,0,0
136,192003,FM6R1WW,1,1,6,FM,IE4450,Leaf,WW,FM_WW,Tanzania,34.21,10.55539316,27.61,4.61,45.18143668,31,495,526,526,17.46428571,517,17.46428571,17.46428571,9,23,3,0,0,0,0,0,259,203,10,0,472,17,2,0,0,0.773066407,1.975614151,0.257688802,0,0,0,0,0,22.24713327,17.43694229,0.858962674,0,40.54303823,1.460236547,0.171792535,0,0,1.711026616,4.372623574,0.570342205,0,0,0,0,49.23954373,38.59315589,1.901140684,0,3.231939163,0.380228137,0,0
142,191006,PM2R1WW,1,2,2,PM,IP9859,Leaf,WW,PM_WW,Sudan,33.16,5.391737033,25.19,5.96,13.04517706,32,302,334,334,2.738095238,314,2.738095238,2.738095238,18,1,9,2,0,0,0,4,127,86,2,8,227,3,58,16,0,0.703033494,0.039057416,0.351516747,0.078114833,0,0,0,0.156229665,4.960291877,3.358937806,0.078114833,0.312459331,8.866033512,0.117172249,2.265330149,0.624918662,0,5.389221557,0.299401198,2.694610778,0.598802395,0,0,1.19760479,38.0239521,25.74850299,0.598802395,2.395209581,0.898203593,17.36526946,4.790419162,0
148,191005,PM7R1WW,1,2,7,PM,IP18019,Leaf,WW,PM_WW,Pakistan,25.84,8.289473684,22.81,1.02,16.49549211,13,315,328,324,6.780487805,319,6.780487805,6.682926829,8,0,2,1,0,0,0,48,158,55,8,0,269,9,23,11,5,0.402329076,0,0.100582269,0.050291134,0,0,0,2.413974455,7.945999249,2.766012397,0.402329076,0,13.52831518,0.45262021,1.156696093,0.553202479,0.251455672,2.469135802,0,0.617283951,0.308641975,0,0,14.81481481,48.7654321,16.66666667,1.851851852,0,2.469135802,7.098765432,3.395061728,1.543209877
154,19106,S5R1WW,1,1,5,S,IS11061,Leaf,WW,S_WW,Ethiopia,16.3,5.282208589,11.77,2.55,21.67977066,9,661,670,653,9.540983607,643,9.540983607,9.262295082,24,0,1,0,3,0,3,233,277,0,44,0,554,28,45,14,1,0.7765888,0,0.032357867,0,0.0970736,0,0.0970736,7.53938293,8.963129062,0,1.423746133,0,17.92625812,0.906020266,1.456103999,0.453010133,0.032357867,3.675344564,0,0.153139357,0,0.45941807,0,35.68147014,39.96937213,0,6.7381317,0,4.134762634,6.891271057,2.143950995,0.153139357
160,19108,S8R1WW,1,2,8,S,IS35215,Leaf,WW,S_WW,Pakistan,20.12,6.928429423,18.11,0.98,19.38402926,21,1035,1056,1031,5.643835616,970,5.643835616,5.948529412,80,0,1,0,6,0,6,185,533,7,11,56,792,32,101,44,0,1.504095384,0,0.018801192,0,0.112807154,0,0.112807154,3.478220575,10.02103549,0.131608346,0.206813115,1.052866769,14.8905443,0.601638153,1.898920422,0.827252461,0,7.759456838,0,0.09699321,0,0.581959263,0,17.94374394,50.24248303,0.678952473,1.066925315,5.431619787,3.103782735,8.826382153,4.267701261,0
