Sample ,Cylno,Acrnoym,Rep,Plant,Geno,Species,Genotype,PlantPart,Treatment,Specie_Trt,Origin,TWT ,TE ,TWA ,LastTranspiration ,Concentration,Disarticulted_Phytoliths,Skeleton_Phytoliths,Total_Phytoliths,TotalPhytoliths_50,RatioS/F,TotalRatioS/F,RatioS/F_concentration,RatioS/F_percentage,Trichomes,Saddle,Rondels,Tracheary,Blocky,BulliformFlabellate,BulliformTOT,ElongClavate,ElongSinuate,ElongEntire,ElongDentate,ElongCrenate,ElongateTOT,Stoma,Cross,Bilobate,Polylobate,TriCONCE,SaddleCONCE,RondelsCONCE,TracheCONCE,BlockyCONCE,BulliFlabellateCONCE,BulliTOTCONCE,ClavateCONCE,SinuateCONCE,EntireCONCE,DentateCONCE,CrenateCONCE,ElongateTOTCONCE,StomaCONCE,CrossCONCE,BilobateCONCE,PolylobateCONCE,TriPER,SaddlePER,RondelPER,TrachePER,BlockyPER,BulliFlabPER,ClavPER,SinuPER,EntirePER,DenPER,CrenPER,StomaPER,CrossPER,BiloPER,PolyPER
16,191506,PM2R1WS,1,1,2,PM,IP9859,Leaf,WS,PM_WS,Sudan,0.44,164.5454545,0,NA,9.291638607,26,561,587,587,4.485436893,565,4.485436893,4.485436893,22,0,5,0,0,0,0,54,207,190,1,0,452,10,48,47,3,0.348238585,0,0.079145133,0,0,0,0,0.854767436,3.276608504,3.007515052,0.015829027,0,7.154720018,0.158290266,0.759793276,0.74396425,0.04748708,3.747870528,0,0.851788756,0,0,0,9.199318569,35.26405451,32.36797274,0.170357751,0,1.703577513,8.177172061,8.00681431,0.511073254
17,191517,PM2R2WS,2,1,2,PM,IP9859,Leaf,WS,PM_WS,Sudan,3.51,38.86039886,0,NA,6.952570478,31,650,681,681,5.845360825,664,5.845360825,5.845360825,17,0,3,0,0,0,0,275,186,25,39,15,540,27,87,6,1,0.173559028,0,0.030628064,0,0,0,0,2.807572513,1.898939954,0.255233865,0.398164829,0.153140319,5.51305148,0.275652574,0.88821385,0.061256128,0.010209355,2.496328928,0,0.440528634,0,0,0,40.38179148,27.31277533,3.671071953,5.726872247,2.202643172,3.964757709,12.7753304,0.881057269,0.146842878
19,191005,PM7R1WW,1,1,7,PM,IP18019,Leaf,WW,PM_WW,Pakistan,25.84,9.88003096,22.81,1.02,11.83815092,34,383,417,417,12.5,405,12.5,12.5,11,0,0,0,1,0,1,64,167,130,4,0,365,10,15,13,2,0.312277362,0,0,0,0.028388851,0,0.028388851,1.816886472,4.740938137,3.690550646,0.113555404,0,10.36193066,0.283888511,0.425832767,0.369055065,0.056777702,2.637889688,0,0,0,0.239808153,0,15.34772182,40.04796163,31.17505995,0.959232614,0,2.398081535,3.597122302,3.117505995,0.479616307
20,191019,PM7R2WW,2,2,7,PM,IP18019,Leaf,WW,PM_WW,Pakistan,30.22,11.55261416,26.45,1.79,8.150009925,19,622,641,641,4.702702703,633,4.702702703,4.702702703,8,1,2,0,0,0,0,212,267,15,0,0,494,28,75,33,0,0.101716193,0.012714524,0.025429048,0,0,0,0,2.695479102,3.394777925,0.190717861,0,0,6.280974887,0.356006674,0.953589305,0.419579294,0,1.248049922,0.15600624,0.31201248,0,0,0,33.07332293,41.65366615,2.340093604,0,0,4.368174727,11.70046802,5.148205928,0
22,191509,PM7R1WS,1,1,7,PM,IP18019,Leaf,WS,PM_WS,Pakistan,5.53,2.513562387,0,0.33,14.60545732,38,382,420,417,3.975308642,403,3.975308642,3.938271605,17,0,2,0,0,0,0,206,70,40,2,0,318,4,46,31,2,0.591173273,0,0.069549797,0,0,0,0,7.163629068,2.434242887,1.390995935,0.069549797,0,11.05841769,0.139099594,1.599645326,1.07802185,0.069549797,4.076738609,0,0.479616307,0,0,0,48.92086331,16.78657074,9.592326139,0.479616307,0,0.71942446,11.03117506,7.434052758,0.479616307
23,191511,PM7R2WS,2,1,7,PM,IP18019,Leaf,WS,PM_WS,Pakistan,8.07,13.13506815,0,0.16,5.49111732,32,362,394,394,7.880952381,373,7.880952381,7.880952381,21,0,0,0,0,0,0,29,169,115,8,0,321,10,29,13,0,0.292673766,0,0,0,0,0,0,0.404168534,2.355326972,1.602737289,0.111494768,0,4.473727563,0.13936846,0.404168534,0.181178998,0,5.329949239,0,0,0,0,0,7.360406091,42.89340102,29.18781726,2.030456853,0,2.538071066,7.360406091,3.299492386,0
25,19106,S5R1WW,1,2,5,S,IS11061,Leaf,WW,S_WW,Ethiopia,16.3,7.012269939,11.77,2.55,49.21494437,15,1739,1754,1754,4.393081761,1715,4.393081761,4.393081761,20,4,4,0,16,3,19,1019,216,7,50,0,1292,105,181,123,6,0.561173824,0.112234765,0.112234765,0,0.448939059,0.084176074,0.533115133,28.59180634,6.0606773,0.196410838,1.40293456,0,36.25182903,2.946162576,5.078623108,3.451219018,0.168352147,1.140250855,0.228050171,0.228050171,0,0.912200684,0.171037628,58.09578107,12.31470924,0.399087799,2.850627138,0,5.98631699,10.31927024,7.012542759,0.342075257
26,19119,S5R2WW,2,2,5,S,IS11061,Leaf,WW,S_WW,Ethiopia,16.79,7.355568791,12.19,2.61,47.44552558,6,719,725,725,8.133333333,685,8.133333333,8.133333333,29,0,0,1,7,3,10,317,260,0,9,0,586,24,67,8,0,1.897821023,0,0,0.065442104,0.45809473,0.196326313,0.654421042,20.74514704,17.0149471,0,0.588978938,0,38.34907309,1.570610502,4.384620984,0.523536834,0,4,0,0,0.137931034,0.965517241,0.413793103,43.72413793,35.86206897,0,1.24137931,0,3.310344828,9.24137931,1.103448276,0
28,19503,S5R1WS,1,2,5,S,IS11061,Leaf,WS,S_WS,Ethiopia,7.93,NA,0,0.22,18.93224611,5,1193,1198,1198,6.081761006,1126,6.081761006,6.081761006,38,0,0,0,32,2,34,766,118,3,12,0,899,68,87,72,0,0.600521997,0,0,0,0.505702734,0.031606421,0.537309155,12.1052592,1.864778832,0.047409631,0.189638525,0,14.20708618,1.07461831,1.374879308,1.137831152,0,3.171953255,0,0,0,2.671118531,0.166944908,63.93989983,9.849749583,0.250417362,1.001669449,0,5.676126878,7.262103506,6.010016694,0
29,19518,S5R2WS,2,2,5,S,IS11061,Leaf,WS,S_WS,Ethiopia,8.58,3.181818182,0,0.54,23.96084123,24,410,434,434,8.720930233,418,8.720930233,8.720930233,10,0,0,0,5,1,6,232,125,10,3,0,370,5,25,16,2,0.552093116,0,0,0,0.276046558,0.055209312,0.33125587,12.80856029,6.901163949,0.552093116,0.165627935,0,20.42744529,0.276046558,1.38023279,0.883348985,0.110418623,2.304147465,0,0,0,1.152073733,0.230414747,53.4562212,28.80184332,2.304147465,0.69124424,0,1.152073733,5.760368664,3.686635945,0.460829493
31,19108,S8R1WW,1,1,8,S,IS35215,Leaf,WW,S_WW,Pakistan,20.12,6.933399602,18.11,0.98,36.99567994,17,757,774,774,14.72340426,739,14.72340426,14.72340426,27,0,0,0,3,5,8,184,428,3,26,0,641,51,44,3,0,1.290546975,0,0,0,0.143394108,0.23899018,0.382384289,8.794838642,20.45755945,0.143394108,1.242748939,0,30.63854114,2.437699841,2.103113588,0.143394108,0,3.488372093,0,0,0,0.387596899,0.645994832,23.77260982,55.29715762,0.387596899,3.359173127,0,6.589147287,5.684754522,0.387596899,0
32,19114,S8R2WW,2,2,8,S,IS35215,Leaf,WW,S_WW,Pakistan,17.47,8.208357184,15.45,1.13,30.23718454,13,750,763,763,5.110169492,721,5.110169492,5.110169492,40,0,7,1,1,0,1,224,279,29,33,6,571,32,71,35,5,1.585173502,0,0.277405363,0.039629338,0.039629338,0,0.039629338,8.876971609,11.05658517,1.149250789,1.307768139,0.237776025,22.62835174,1.268138801,2.813682965,1.387026814,0.198146688,5.242463958,0,0.917431193,0.131061599,0.131061599,0,29.35779817,36.56618611,3.80078637,4.325032765,0.786369594,4.193971166,9.305373526,4.587155963,0.655307995
34,19507,S8R1WS,1,2,8,S,IS35215,Leaf,WS,S_WS,Pakistan,8.57,7.211201867,0,0.08,32.25911959,13,1202,1215,1215,7.553846154,1112,7.553846154,7.553846154,94,0,1,0,7,2,9,393,532,7,14,0,946,36,119,10,0,2.495767277,0,0.026550716,0,0.18585501,0.053101431,0.238956441,10.43443128,14.12498076,0.18585501,0.37171002,0,25.11697707,0.955825766,3.15953517,0.265507157,0,7.736625514,0,0.082304527,0,0.576131687,0.164609053,32.34567901,43.78600823,0.576131687,1.152263374,0,2.962962963,9.794238683,0.823045267,0
35,19512,S8R2WS,2,2,8,S,IS35215,Leaf,WS,S_WS,Pakistan,9.63,7.476635514,0,0.08,24.04279157,18,1078,1096,1096,12.48051948,1038,12.48051948,12.48051948,53,0,2,0,5,0,5,302,607,7,1,0,917,44,47,28,0,1.162653242,0,0.043873707,0,0.109684268,0,0.109684268,6.624929793,13.31567015,0.153557975,0.021936854,0,20.11609477,0.965221559,1.03103212,0.614231901,0,4.835766423,0,0.182481752,0,0.45620438,0,27.55474453,55.38321168,0.638686131,0.091240876,0,4.01459854,4.288321168,2.554744526,0
82,192008,FM2R1WW,1,1,2,FM,IE3476,Leaf,WW,FM_WW,Kenya,30.14,7.99601858,23.12,5.04,17.44404152,59,341,400,396,5.03030303,398,5.03030303,5.061538462,2,43,22,0,0,0,0,8,225,40,41,0,314,18,1,0,0,0.087220208,1.875234463,0.959422283,0,0,0,0,0.34888083,9.812273353,1.744404152,1.788014255,0,13.69357259,0.784981868,0.043610104,0,0,0.505050505,10.60606061,5.555555556,0,0,0,2.02020202,56.81818182,10.1010101,9.595959596,0,4.545454545,0.252525253,0,0
83,192011,FM2R2WW,2,1,2,FM,IE3476,Leaf,WW,FM_WW,Kenya,32.52,7.235547355,25.53,5.01,20.49903152,147,280,427,427,7.294117647,423,7.294117647,7.294117647,4,39,9,0,0,0,0,0,157,137,60,0,354,18,3,0,0,0.192028398,1.872276883,0.432063896,0,0,0,0,0,7.537114633,6.576972642,2.880425975,0,16.99451325,0.864127792,0.144021299,0,0,0.93676815,9.133489461,2.107728337,0,0,0,0,36.76814988,32.08430913,14.05152225,0,4.215456674,0.702576112,0,0
85,192504,FM2R1WS,1,1,2,FM,IE3476,Leaf,WS,FM_WS,Kenya,9.2,5.826086957,1,0.64,6.362331817,97,349,446,446,6.660714286,429,6.660714286,6.660714286,12,31,15,3,2,0,2,8,258,75,26,1,368,5,3,4,3,0.171183816,0.442224857,0.21397977,0.042795954,0.028530636,0,0.028530636,0.114122544,3.680452038,1.069898848,0.370898267,0.014265318,5.249637015,0.07132659,0.042795954,0.057061272,0.042795954,2.69058296,6.950672646,3.3632287,0.67264574,0.448430493,0,1.793721973,57.84753363,16.8161435,5.829596413,0.224215247,1.121076233,0.67264574,0.896860987,0.67264574
86,192517,FM2R2WS,2,1,2,FM,IE3476,Leaf,WS,FM_WS,Kenya,10.35,6.243478261,1,0.28,9.017627031,55,384,439,433,5.560606061,433,5.560606061,5.484848485,6,32,30,0,0,0,0,44,208,88,17,1,358,9,4,0,0,0.12324775,0.657321333,0.616238749,0,0,0,0,0.903816832,4.272588662,1.807633665,0.349201958,0.020541292,7.353782408,0.184871625,0.082165167,0,0,1.154734411,7.390300231,6.928406467,0,0,0,10.16166282,48.0369515,19.16859122,3.926096998,0.230946882,2.07852194,0.923787529,0,0
88,192004,FM7R1WW,1,1,7,FM,IE4456,Leaf,WW,FM_WW,Tanzania,35.47,11.59007612,30.98,2.51,23.12633094,113,249,362,352,14.40909091,339,14.40909091,14.71428571,21,16,5,0,1,1,2,2,121,138,43,5,309,8,1,0,0,1.341582734,1.022158273,0.31942446,0,0.063884892,0.063884892,0.127769784,0.127769784,7.730071942,8.816115108,2.74705036,0.31942446,19.74043165,0.511079137,0.063884892,0,0,5.681818182,4.261363636,1.420454545,0,0.284090909,0.284090909,0.568181818,32.67045455,38.63636364,12.21590909,1.420454545,2.272727273,0.284090909,0,0
89,192012,FM7R2WW,2,1,7,FM,IE4456,Leaf,WW,FM_WW,Tanzania,29.19,20.4898938,23.89,3.28,9.636232834,58,253,311,311,6.512820513,293,6.512820513,6.512820513,12,28,11,0,5,1,6,0,124,99,3,24,250,4,0,0,0,0.371816058,0.867570802,0.340831386,0,0.154923357,0.030984671,0.185908029,0,3.842099265,3.067482478,0.092954014,0.743632116,7.746167873,0.123938686,0,0,0,3.8585209,9.003215434,3.536977492,0,1.607717042,0.321543408,0,39.87138264,31.83279743,0.964630225,7.717041801,1.286173633,0,0,0
